项目,1,2,3,4,5,6
M/g,0,30,60,90,120,
Z/mm,1.01,1.23,1.46,1.66,1.86,
U/mV,0,62,125,187,250,

计算结果,值,单位
霍尔传感器灵敏度,293.147,mV/mm
