项目,1,2,3,4,5,6
M/g,0,20,40,60,80,100
Z/mm,1.01,1.16,1.3,1.44,1.58,1.72
U/mV,0,42,83,125,166,208

计算结果,值,单位
霍尔传感器灵敏度,292.205,mV/mm
