项目,1,2,3,4,5,6
M/g,0,20,40,60,80,100
Z/mm,1,1.27,1.52,1.76,2.02,2.25
U/mV,0,73,146,219,292,365

计算结果,值,单位
霍尔传感器灵敏度,288.434,mV/mm
