=== 实验参数 ===
励磁电流 I,600,mA
磁感应强度 B,492.1,mT

Ur(mV),Ih(mA),U1(mV),U2(mV),U3(mV),U4(mV),Uh(mV)
-24.0,0.240,-29.8,29.8,-28.9,28.9,-29.350
-48.0,0.480,-59.5,59.5,-57.8,57.8,-58.650
