磁滞回线数据
样品: 电工纯铁

I/mA,B/mT,H/(A/m)
0,0.1,0
132,152.7,1109
225,390.3,1891
346,692.5,2908
414,857.2,3479
493,1041.6,4143
600,1269.0,5042
475,1147.9,3992
189,649.1,1588
0,197.0,0
-71,14.4,-597
-225,-395.6,-1891
-464,-1003.1,-3899
-600,-1300.1,-5042
-336,-936.3,-2824
-214,-696.7,-1798
-46,-301.8,-387
0,-185.9,0
204,337.0,1714
421,873.9,3538
600,1269.0,5042
