磁滞回线数据
样品: 模具钢

I/mA,B/mT,H/(A/m)
0,0.0,0
154,61.5,1294
250,123.0,2101
339,181.1,2849
461,251.7,3874
600,285.2,5042
471,278.3,3958
307,237.7,2580
175,178.3,1471
14,86.9,118
-107,9.5,-899
-229,-72.7,-1924
-379,-170.4,-3185
-507,-240.1,-4261
-582,-275.3,-4891
-368,-251.5,-3092
-296,-228.7,-2487
-189,-181.5,-1588
-71,-115.2,-597
71,-25.2,597
164,35.2,1378
389,174.5,3269
600,282.1,5042
