测量次数,β1（弧度*s^-2）,β2（弧度*s^-2）
第1次,-0.0512,1.1930
第2次,-0.0380,1.2207
第3次,-0.0565,1.2121
第4次,-0.0628,1.2401
第5次,-0.0507,1.2644
平均值,-0.0518,1.2261

实验参数:
砝码和砝码架总质量 m,53.98 g
塔轮半径 R,25 mm
重力加速度 g,9.794 m/s²
空载物台转动惯量 J₁,0.01033 kg·m²
当前实验条件,空实验台
当前测量项目,测量空载物台的转动惯量
